 	Label	Area	Mean	StdDev	Min	Max	X	Y	Circ.	IntDen	Median	RawIntDen	Ch	Slice	AR	Round	Solidity
29	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0013-0001-0367:c:2/4 z:13/50 - Lightning 001/Mark_and_Find 001/Position010	5.484	10.022	16.218	0	94	94.126	51.954	0.874	54.958	2	2746.000	2	13	1.310	0.764	0.934
30	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0001-0367:c:2/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	3.663	7.585	16.591	0	96	94.492	51.992	0.860	27.779	1	1388.000	2	14	1.302	0.768	0.899
31	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0002-0374:c:2/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	3.442	36.006	38.373	0	189	100.364	52.985	0.727	123.946	27	6193.000	2	14	1.957	0.511	0.884
32	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0014-0003-0662:c:2/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	5.384	10.126	17.242	0	129	90.839	93.664	0.745	54.518	3	2724.000	2	14	1.993	0.502	0.912
33	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0015-0001-0375:c:2/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	7.865	12.901	19.603	0	128	100.499	53.116	0.878	101.471	2	5070.000	2	15	1.241	0.806	0.941
34	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0015-0002-0660:c:2/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	10.607	7.315	14.476	0	96	91.621	93.205	0.747	77.594	1	3877.000	2	15	1.718	0.582	0.905
35	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0001-0373:c:2/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	5.384	10.442	17.315	0	115	100.144	52.927	0.858	56.219	2	2809.000	2	16	1.288	0.776	0.920
36	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0002-0411:c:2/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	8.626	11.483	20.353	0	122	72.606	58.420	0.756	99.049	2	4949.000	2	16	1.609	0.622	0.894
37	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0016-0003-0655:c:2/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	12.869	7.720	16.213	0	133	92.588	92.805	0.786	99.349	1	4964.000	2	16	1.384	0.722	0.913
38	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0017-0001-0411:c:2/4 z:17/50 - Lightning 001/Mark_and_Find 001/Position010	16.692	12.302	21.748	0	162	73.001	58.568	0.729	205.343	2	10260.000	2	17	1.397	0.716	0.915
