 	Label	Area	Mean	StdDev	Min	Max	X	Y	Circ.	IntDen	Median	RawIntDen	Ch	Slice	AR	Round	Solidity
71	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0001-0001-0433:c:2/4 z:1/50 - Lightning 001/Mark_and_Find 001/Position010	131.211	44.043	47.026	0	255	78.256	61.065	0.907	5778.990	31	288748.000	2	1	1.049	0.953	0.983
72	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0001-0002-0508:c:2/4 z:1/50 - Lightning 001/Mark_and_Find 001/Position010	182.007	48.574	48.328	0	255	101.022	71.900	0.895	8840.765	35	441730.000	2	1	1.134	0.882	0.985
73	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0001-0003-0604:c:2/4 z:1/50 - Lightning 001/Mark_and_Find 001/Position010	153.487	46.560	49.556	0	255	74.940	85.434	0.899	7146.283	32	357065.000	2	1	1.042	0.960	0.983
74	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0002-0001-0433:c:2/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	94.766	47.649	48.966	0	255	78.040	61.175	0.898	4515.469	34	225616.000	2	2	1.085	0.922	0.978
75	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0002-0002-0507:c:2/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	167.957	44.959	45.778	0	255	100.807	71.729	0.898	7551.266	32	377300.000	2	2	1.124	0.890	0.984
76	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0002-0003-0605:c:2/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	128.570	46.446	48.988	0	255	74.886	85.639	0.898	5971.564	33	298370.000	2	2	1.056	0.947	0.981
77	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0003-0001-0506:c:2/4 z:3/50 - Lightning 001/Mark_and_Find 001/Position010	142.559	43.836	46.099	0	255	100.771	71.630	0.904	6249.218	31	312243.000	2	3	1.130	0.885	0.983
78	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0003-0002-0606:c:2/4 z:3/50 - Lightning 001/Mark_and_Find 001/Position010	96.647	47.965	47.480	0	255	74.956	85.789	0.904	4635.713	35	231624.000	2	3	1.105	0.905	0.979
79	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0004-0001-0505:c:2/4 z:4/50 - Lightning 001/Mark_and_Find 001/Position010	116.281	43.973	43.137	0	255	100.756	71.573	0.900	5113.226	33	255483.000	2	4	1.098	0.911	0.982
80	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0005-0001-0506:c:2/4 z:5/50 - Lightning 001/Mark_and_Find 001/Position010	83.498	46.075	43.826	0	251	100.867	71.550	0.907	3847.143	34	192223.000	2	5	1.054	0.949	0.980
81	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0010-0001-0379:c:2/4 z:10/50 - Lightning 001/Mark_and_Find 001/Position010	101.431	32.237	39.219	0	255	96.189	53.582	0.898	3269.800	20	163376.000	2	10	1.160	0.862	0.981
82	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0010-0002-0636:c:2/4 z:10/50 - Lightning 001/Mark_and_Find 001/Position010	80.356	32.466	41.450	0	249	93.378	90.292	0.894	2608.799	16	130349.000	2	10	1.103	0.907	0.978
83	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0011-0001-0377:c:2/4 z:11/50 - Lightning 001/Mark_and_Find 001/Position010	130.611	37.631	42.528	0	255	96.231	53.433	0.894	4915.007	25	245579.000	2	11	1.134	0.882	0.982
84	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0011-0002-0635:c:2/4 z:11/50 - Lightning 001/Mark_and_Find 001/Position010	111.057	34.350	41.515	0	255	93.321	90.117	0.896	3814.800	22	190607.000	2	11	1.087	0.920	0.981
85	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0012-0001-0376:c:2/4 z:12/50 - Lightning 001/Mark_and_Find 001/Position010	154.448	37.035	43.819	0	255	96.148	53.360	0.891	5719.909	25	285796.000	2	12	1.081	0.925	0.981
86	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0012-0002-0635:c:2/4 z:12/50 - Lightning 001/Mark_and_Find 001/Position010	130.391	37.574	41.937	0	255	93.277	89.987	0.902	4899.256	27	244792.000	2	12	1.098	0.910	0.983
87	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0013-0001-0376:c:2/4 z:13/50 - Lightning 001/Mark_and_Find 001/Position010	176.043	38.079	44.581	0	255	96.124	53.320	0.901	6703.595	25	334946.000	2	13	1.057	0.946	0.984
88	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0013-0002-0635:c:2/4 z:13/50 - Lightning 001/Mark_and_Find 001/Position010	147.323	36.850	42.235	0	255	93.256	90.005	0.906	5428.826	25	271252.000	2	13	1.080	0.926	0.984
89	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0014-0001-0375:c:2/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	189.212	37.774	43.543	0	255	96.044	53.219	0.904	7147.264	25	357114.000	2	14	1.049	0.953	0.985
90	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0014-0002-0636:c:2/4 z:14/50 - Lightning 001/Mark_and_Find 001/Position010	159.891	38.553	41.734	0	255	93.219	90.001	0.903	6164.278	28	307999.000	2	14	1.072	0.933	0.984
91	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0015-0001-0375:c:2/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	193.895	39.609	46.116	0	255	95.964	53.135	0.901	7680.035	26	383734.000	2	15	1.039	0.963	0.984
92	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0015-0002-0413:c:2/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	101.571	29.201	39.682	0	255	71.959	58.380	0.904	2965.988	11	148196.000	2	15	1.109	0.901	0.980
93	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0015-0003-0636:c:2/4 z:15/50 - Lightning 001/Mark_and_Find 001/Position010	166.556	34.316	40.099	0	255	93.072	89.938	0.898	5715.606	23	285581.000	2	15	1.067	0.938	0.984
94	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0016-0001-0376:c:2/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	198.438	38.806	44.790	0	255	95.941	53.118	0.898	7700.570	26	384760.000	2	16	1.025	0.976	0.983
95	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0016-0002-0414:c:2/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	137.936	32.779	41.866	0	255	71.907	58.362	0.900	4521.473	17	225916.000	2	16	1.086	0.920	0.983
96	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0016-0003-0636:c:2/4 z:16/50 - Lightning 001/Mark_and_Find 001/Position010	169.598	34.707	41.619	0	255	92.939	89.965	0.907	5886.165	22	294103.000	2	16	1.055	0.948	0.985
97	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0017-0001-0376:c:2/4 z:17/50 - Lightning 001/Mark_and_Find 001/Position010	194.175	37.236	41.758	0	255	95.895	53.058	0.902	7230.402	26	361268.000	2	17	1.038	0.964	0.985
98	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0017-0002-0416:c:2/4 z:17/50 - Lightning 001/Mark_and_Find 001/Position010	168.077	37.543	46.739	0	255	71.847	58.578	0.902	6310.200	20	315290.000	2	17	1.074	0.931	0.985
99	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0017-0003-0637:c:2/4 z:17/50 - Lightning 001/Mark_and_Find 001/Position010	167.317	33.312	40.581	0	255	92.810	89.970	0.902	5573.607	20	278486.000	2	17	1.081	0.925	0.983
100	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0018-0001-0375:c:2/4 z:18/50 - Lightning 001/Mark_and_Find 001/Position010	184.068	35.434	40.722	0	255	95.876	53.066	0.903	6522.228	25	325884.000	2	18	1.030	0.971	0.984
101	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0018-0002-0416:c:2/4 z:18/50 - Lightning 001/Mark_and_Find 001/Position010	186.750	40.145	47.649	0	255	71.766	58.670	0.902	7497.128	25	374595.000	2	18	1.064	0.940	0.985
102	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0018-0003-0591:c:2/4 z:18/50 - Lightning 001/Mark_and_Find 001/Position010	88.562	31.491	39.392	0	255	69.496	83.797	0.897	2788.865	17	139346.000	2	18	1.183	0.845	0.980
103	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0018-0004-0635:c:2/4 z:18/50 - Lightning 001/Mark_and_Find 001/Position010	159.371	33.098	38.278	0	255	92.806	89.952	0.904	5274.818	22	263557.000	2	18	1.104	0.906	0.984
104	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0019-0001-0374:c:2/4 z:19/50 - Lightning 001/Mark_and_Find 001/Position010	165.295	31.393	36.982	0	255	95.804	53.099	0.914	5189.138	21	259276.000	2	19	1.039	0.963	0.985
105	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0019-0002-0415:c:2/4 z:19/50 - Lightning 001/Mark_and_Find 001/Position010	198.358	44.443	49.457	0	255	71.621	58.698	0.895	8815.627	30	440474.000	2	19	1.059	0.945	0.985
106	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0019-0003-0591:c:2/4 z:19/50 - Lightning 001/Mark_and_Find 001/Position010	118.343	33.482	39.064	0	232	69.616	83.688	0.898	3962.303	22	197977.000	2	19	1.145	0.873	0.982
107	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0019-0004-0635:c:2/4 z:19/50 - Lightning 001/Mark_and_Find 001/Position010	147.023	36.329	39.192	0	255	92.777	89.948	0.900	5341.164	27	266872.000	2	19	1.113	0.898	0.982
108	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0020-0001-0374:c:2/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	143.600	33.111	38.041	0	241	95.577	53.126	0.902	4754.816	23	237575.000	2	20	1.028	0.972	0.982
109	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0020-0002-0415:c:2/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	202.321	44.273	48.876	0	255	71.406	58.708	0.900	8957.446	31	447560.000	2	20	1.048	0.954	0.985
110	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0020-0003-0591:c:2/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	141.619	34.714	39.817	0	255	69.617	83.662	0.896	4916.208	23	245639.000	2	20	1.108	0.902	0.984
111	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0020-0004-0635:c:2/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	131.572	36.519	38.340	0	255	92.762	89.869	0.894	4804.891	28	240077.000	2	20	1.118	0.894	0.980
112	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0021-0001-0375:c:2/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	118.963	36.390	39.613	0	244	95.650	53.133	0.890	4329.119	27	216305.000	2	21	1.031	0.970	0.979
113	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0021-0002-0416:c:2/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	200.540	41.310	45.053	0	255	71.213	58.782	0.900	8284.257	30	413924.000	2	21	1.052	0.951	0.986
114	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0021-0003-0591:c:2/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	158.050	37.459	44.506	0	255	69.550	83.669	0.893	5920.468	24	295817.000	2	21	1.134	0.882	0.983
115	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0021-0004-0635:c:2/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	110.757	38.878	40.737	0	255	92.636	89.929	0.898	4306.043	29	215152.000	2	21	1.131	0.884	0.980
116	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0022-0001-0375:c:2/4 z:22/50 - Lightning 001/Mark_and_Find 001/Position010	86.060	35.319	38.993	0	253	95.832	53.028	0.868	3039.580	26	151873.000	2	22	1.091	0.916	0.976
117	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0022-0002-0416:c:2/4 z:22/50 - Lightning 001/Mark_and_Find 001/Position010	187.030	41.457	44.557	0	255	71.079	58.908	0.899	7753.807	30	387420.000	2	22	1.075	0.931	0.984
118	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0022-0003-0591:c:2/4 z:22/50 - Lightning 001/Mark_and_Find 001/Position010	169.318	38.091	44.413	0	255	69.549	83.669	0.892	6449.417	25	322246.000	2	22	1.166	0.858	0.984
119	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0022-0004-0635:c:2/4 z:22/50 - Lightning 001/Mark_and_Find 001/Position010	82.678	39.538	40.169	0	255	92.722	89.957	0.892	3268.939	31	163333.000	2	22	1.169	0.856	0.976
120	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0023-0001-0417:c:2/4 z:23/50 - Lightning 001/Mark_and_Find 001/Position010	164.174	40.046	41.588	0	255	70.926	59.050	0.906	6574.605	30	328501.000	2	23	1.085	0.921	0.985
121	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0023-0002-0591:c:2/4 z:23/50 - Lightning 001/Mark_and_Find 001/Position010	173.261	37.723	43.310	0	255	69.562	83.646	0.895	6535.938	25	326569.000	2	23	1.175	0.851	0.985
122	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0024-0001-0417:c:2/4 z:24/50 - Lightning 001/Mark_and_Find 001/Position010	138.016	35.873	39.688	0	255	70.824	59.348	0.899	4951.032	26	247379.000	2	24	1.106	0.905	0.982
123	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0024-0002-0504:c:2/4 z:24/50 - Lightning 001/Mark_and_Find 001/Position010	90.923	40.057	44.308	0	255	91.247	71.347	0.901	3642.140	29	181980.000	2	24	1.237	0.809	0.980
124	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0024-0003-0592:c:2/4 z:24/50 - Lightning 001/Mark_and_Find 001/Position010	172.300	37.496	43.509	0	255	69.512	83.641	0.884	6460.625	24	322806.000	2	24	1.176	0.850	0.983
125	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0025-0001-0419:c:2/4 z:25/50 - Lightning 001/Mark_and_Find 001/Position010	105.614	36.988	40.249	0	246	70.742	59.595	0.891	3906.404	27	195184.000	2	25	1.105	0.905	0.977
126	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0025-0002-0504:c:2/4 z:25/50 - Lightning 001/Mark_and_Find 001/Position010	113.959	38.969	44.058	0	255	91.109	71.462	0.906	4440.937	27	221892.000	2	25	1.176	0.851	0.982
127	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0025-0003-0591:c:2/4 z:25/50 - Lightning 001/Mark_and_Find 001/Position010	163.874	37.773	43.559	0	255	69.579	83.602	0.888	6190.076	26	309288.000	2	25	1.169	0.856	0.982
128	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0026-0001-0505:c:2/4 z:26/50 - Lightning 001/Mark_and_Find 001/Position010	134.594	39.821	43.044	0	255	90.883	71.637	0.898	5359.637	29	267795.000	2	26	1.149	0.871	0.983
129	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0026-0002-0592:c:2/4 z:26/50 - Lightning 001/Mark_and_Find 001/Position010	152.666	36.933	41.527	0	255	69.488	83.662	0.889	5638.412	26	281724.000	2	26	1.159	0.863	0.982
